Mapa,EnoughStates,1,2,4,8,16,32,48
mapa15_5.txt,500,19.838,4.546,1.981,1.490,0.575,0.159,0.138
mapa15_5.txt,1000,6.600,1.141,0.669,0.491,0.295,0.146,0.144
mapa15_5.txt,5000,1.611,0.939,0.566,0.284,0.181,0.143,0.129
mapa15_5.txt,10000,16.084,6.800,1.776,0.993,0.417,0.230,0.201
mapa15_5.txt,50000,2.965,1.438,1.067,0.853,0.728,0.681,0.670
mapa3_11.txt,500,0.022,0.011,0.009,0.008,0.009,0.011,0.014
mapa3_11.txt,1000,0.031,0.019,0.014,0.012,0.012,0.013,0.015
mapa3_11.txt,5000,0.042,0.033,0.029,0.027,0.026,0.027,0.029
mapa3_11.txt,10000,0.059,0.052,0.048,0.045,0.045,0.046,0.048
mapa3_11.txt,50000,0.260,0.244,0.235,0.225,0.222,0.222,0.225
mapa3_5.txt,500,0.009,0.008,0.009,0.009,0.010,0.012,0.013
mapa3_5.txt,1000,0.008,0.008,0.008,0.009,0.010,0.013,0.014
mapa3_5.txt,5000,0.008,0.008,0.008,0.009,0.010,0.012,0.013
mapa3_5.txt,10000,0.008,0.008,0.008,0.009,0.010,0.012,0.013
mapa3_5.txt,50000,0.008,0.008,0.008,0.009,0.010,0.011,0.014
mapa4_15.txt,500,0.759,0.373,0.174,0.083,0.045,0.029,0.023
mapa4_15.txt,1000,0.078,0.051,0.025,0.020,0.013,0.013,0.016
mapa4_15.txt,5000,0.038,0.034,0.032,0.028,0.027,0.029,0.032
mapa4_15.txt,10000,0.192,0.119,0.083,0.066,0.057,0.055,0.056
mapa4_15.txt,50000,0.394,0.308,0.264,0.230,0.221,0.214,0.219
mapa5_11.txt,500,1.113,0.542,0.269,0.141,0.078,0.047,0.051
mapa5_11.txt,1000,1.957,0.834,0.429,0.207,0.097,0.052,0.042
mapa5_11.txt,5000,0.943,0.489,0.253,0.141,0.086,0.061,0.057
mapa5_11.txt,10000,1.343,0.702,0.359,0.208,0.134,0.096,0.088
mapa5_11.txt,50000,1.317,0.794,0.537,0.398,0.327,0.294,0.297
mapa5_15.txt,500,40.446,19.059,9.645,4.852,2.692,1.663,1.345
mapa5_15.txt,1000,59.996,30.009,15.009,7.509,3.759,1.889,1.310
mapa5_15.txt,5000,37.544,18.181,9.175,4.770,2.347,1.211,0.869
mapa5_15.txt,10000,59.995,30.019,15.029,7.539,3.789,1.783,1.150
mapa5_15.txt,50000,42.908,21.026,10.615,5.425,2.873,1.550,1.121
mapa5_5.txt,500,0.011,0.009,0.009,0.009,0.010,0.012,0.014
mapa5_5.txt,1000,0.013,0.012,0.012,0.012,0.012,0.014,0.017
mapa5_5.txt,5000,0.039,0.038,0.037,0.036,0.037,0.038,0.041
mapa5_5.txt,10000,0.082,0.079,0.078,0.076,0.076,0.077,0.081
mapa5_5.txt,50000,0.637,0.627,0.621,0.615,0.617,0.617,0.618
mapa7_10.txt,500,0.526,0.252,0.088,0.036,0.016,0.017,0.031
mapa7_10.txt,1000,0.611,0.343,0.178,0.076,0.042,0.023,0.020
mapa7_10.txt,5000,1.044,0.549,0.244,0.133,0.086,0.053,0.048
mapa7_10.txt,10000,1.978,1.027,0.573,0.283,0.169,0.116,0.105
mapa7_10.txt,50000,0.712,0.541,0.419,0.373,0.355,0.342,0.342
mapa7_11.txt,500,2.636,1.327,0.626,0.186,0.029,0.031,0.030
mapa7_11.txt,1000,12.236,5.422,2.422,0.807,0.376,0.169,0.096
mapa7_11.txt,5000,7.677,3.531,1.592,0.746,0.361,0.185,0.127
mapa7_11.txt,10000,10.877,4.393,2.053,0.324,0.088,0.085,0.086
mapa7_11.txt,50000,44.586,22.368,10.805,5.558,2.914,1.448,0.959
mapa7_7.txt,500,0.155,0.079,0.044,0.026,0.016,0.014,0.014
mapa7_7.txt,1000,0.122,0.069,0.042,0.029,0.022,0.018,0.020
mapa7_7.txt,5000,0.166,0.101,0.071,0.054,0.047,0.045,0.046
mapa7_7.txt,10000,0.090,0.082,0.076,0.078,0.071,0.073,0.078
mapa7_7.txt,50000,0.396,0.364,0.352,0.341,0.324,0.326,0.325
mapa9_9.txt,500,59.992,28.840,10.419,2.413,1.306,0.910,0.755
mapa9_9.txt,1000,59.994,30.009,14.156,6.614,2.017,0.978,0.788
mapa9_9.txt,5000,42.672,20.326,9.270,4.276,1.740,0.800,0.613
mapa9_9.txt,10000,22.316,10.539,4.756,2.248,1.176,0.661,0.538
mapa9_9.txt,50000,18.414,9.448,4.827,2.647,1.494,0.965,0.784
