mapa,verze,uzly,vlakna,cas
mapa5_5.txt,DATA,1,12,0.054502
mapa5_5.txt,DATA,1,16,0.0545775
mapa5_5.txt,DATA,1,32,0.0553626
mapa5_5.txt,DATA,1,48,0.0565962
mapa5_5.txt,MPI,1,48,2.90036
mapa5_5.txt,MPI,2,48,4.64398
mapa5_5.txt,MPI,3,48,4.16098
mapa5_5.txt,MPI,4,48,3.46235
mapa7_10.txt,TASK,1,2,2.14206
mapa7_10.txt,TASK,1,4,0.0843539
mapa7_10.txt,TASK,1,8,0.0399271
mapa7_10.txt,TASK,1,12,0.0201479
mapa7_10.txt,TASK,1,16,0.0171548
mapa7_10.txt,TASK,1,32,0.0138081
mapa7_10.txt,TASK,1,48,0.0158977
mapa7_10.txt,DATA,1,2,0.606306
mapa7_10.txt,DATA,1,4,0.283743
mapa7_10.txt,DATA,1,8,0.160683
mapa7_10.txt,DATA,1,12,0.126961
mapa7_10.txt,DATA,1,16,0.110962
mapa7_10.txt,DATA,1,32,0.0736812
mapa7_10.txt,DATA,1,48,0.0670577
mapa7_10.txt,MPI,1,48,3.86313
mapa7_10.txt,MPI,2,48,6.8089
mapa7_10.txt,MPI,3,48,6.28022
mapa7_10.txt,MPI,4,48,5.7452
mapa7_11.txt,TASK,1,2,12.494
mapa7_11.txt,TASK,1,4,1.51236
mapa7_11.txt,TASK,1,8,0.0594596
mapa7_11.txt,TASK,1,12,0.0281327
mapa7_11.txt,TASK,1,16,0.0385856
mapa7_11.txt,TASK,1,32,0.0233564
mapa7_11.txt,TASK,1,48,0.0248783
mapa7_11.txt,DATA,1,2,3.7385
mapa7_11.txt,DATA,1,4,1.66253
mapa7_11.txt,DATA,1,8,0.797817
mapa7_11.txt,DATA,1,12,0.533027
mapa7_11.txt,DATA,1,16,0.403953
mapa7_11.txt,DATA,1,32,0.211465
mapa7_11.txt,DATA,1,48,0.148246
mapa7_11.txt,MPI,1,48,6.74097
mapa7_11.txt,MPI,2,48,31.9296
mapa7_11.txt,MPI,3,48,22.0765
mapa7_11.txt,MPI,4,48,21.1751
mapa7_7.txt,TASK,1,2,0.2395
mapa7_7.txt,TASK,1,4,0.0793137
mapa7_7.txt,TASK,1,8,0.0519054
mapa7_7.txt,TASK,1,12,0.0512143
mapa7_7.txt,TASK,1,16,0.00976506
mapa7_7.txt,TASK,1,32,0.0124794
mapa7_7.txt,TASK,1,48,0.0642185
mapa7_7.txt,DATA,1,2,0.129013
mapa7_7.txt,DATA,1,4,0.0996788
mapa7_7.txt,DATA,1,8,0.0756192
mapa7_7.txt,DATA,1,12,0.0690327
mapa7_7.txt,DATA,1,16,0.0662879
mapa7_7.txt,DATA,1,32,0.063471
mapa7_7.txt,DATA,1,48,0.0635442
mapa7_7.txt,MPI,1,48,3.86338
mapa7_7.txt,MPI,2,48,5.25276
mapa7_7.txt,MPI,3,48,4.03378
mapa7_7.txt,MPI,4,48,3.68578
mapa9_9.txt,TASK,1,2,21.066
mapa9_9.txt,TASK,1,4,7.19426
mapa9_9.txt,TASK,1,8,2.69882
mapa9_9.txt,TASK,1,12,1.78159
mapa9_9.txt,TASK,1,16,1.73297
mapa9_9.txt,TASK,1,32,1.25238
mapa9_9.txt,TASK,1,48,1.56446
mapa9_9.txt,DATA,1,2,21.2974
mapa9_9.txt,DATA,1,4,9.7176
mapa9_9.txt,DATA,1,8,4.51386
mapa9_9.txt,DATA,1,12,2.56868
mapa9_9.txt,DATA,1,16,1.83011
mapa9_9.txt,DATA,1,32,0.83646
mapa9_9.txt,DATA,1,48,0.649582
mapa9_9.txt,MPI,1,48,29.2734
mapa9_9.txt,MPI,2,48,23.121
mapa9_9.txt,MPI,3,48,13.9836
mapa9_9.txt,MPI,4,48,24.9554
